Egg.ID,mean_num_position_changes,position_var,temp_mean,temp_var,rh_mean,rh_var,Facility,Fate,Fate_Treatment,Year,Egg_Treatment,Treatment,Treatment2,Egg type,Logger.ID,Pair.ID,Hatch.Assisted,Lay.date,Egg.age.pairing,Egg.age.at.hatch.fail,Paired.date,Unpaired.date,Hatch.fail.date,Comment
R23#1,0.89539749,114.3401561,37.02518026,0.268638113,59.85580371,8.469157669,Patuxent,Hatched,Hatched P,2014,SHC-P,P,AI,SHC,P-3,14,No,109,20,32,129,139,141,
R23#4/3,1.63671875,197.7901134,34.99416299,15.15451251,54.5,0.010202,Patuxent,Hatched,Hatched SHC,2014,SHC-SHC,SHC,NI,SHC,P-7,14,No,134,7,29,141,162,163,Only RH2 sensors used
R23#2,1.650980392,250.7068149,37.30756577,0.278976379,62.29115669,1.273157157,Patuxent,Hatched,Hatched GQF1,2014,SHC-GQF1,GQF1,AI,SHC,P-9,14,No,112,17,29,129,140,141,
R33#2.3,1.675824176,254.0556562,37.29052232,0.387812995,62.31830841,1.616548233,Patuxent,Hatched,Hatched GQF1,2014,SHC-GQF1,GQF1,AI,SHC,P-9,15,No,106,23,32,129,137,138,
S18#2,1.57254902,236.5433214,37.29141225,0.308558734,62.71525263,1.60390084,Patuxent,Failed,Failed GQF1,2014,SHC-GQF1,GQF1,AI,SHC,P-9,16,NA,120,9,31,129,150,150-151,
S1#2,0.884615385,95.02635413,37.03121623,0.029794879,67.18989947,3.489661458,Patuxent,Hatched,Hatched P,2014,SHC-P,P,AI,SHC,P-10,17,No,122,25,29,147,150,151,
S18#4,1.099236641,110.3868999,37.04882953,0.047382931,67.52887052,6.752152867,Patuxent,Hatched,Hatched P,2014,SHC-P,P,AI,SHC,P-10,16,No,143,2,29,145,171,172,
T7#2,3.218487395,761.0835151,33.70093846,3.512354784,62.70054196,46.05094788,Patuxent,Hatched,Hatched SHC,2015,WC-SHC,SHC,NI,WC,P-1,18,No,134,1,29,135,160,163,
R34#4,5.876494024,1393.011601,32.56937857,13.4069499,67.43792186,145.0125231,Patuxent,Hatched,Hatched WC,2015,SHC-WC,WC,NI,SHC,P-2,15,No,130,6,32,136,157,162,
R34#3,3.028697572,718.247664,33.39795115,3.324481303,53.52070539,44.54873646,Patuxent,Hatched,Hatched SHC,2015,SHC-SHC,SHC,NI,SHC,P-3,15,No,128,8,31,136,155,159,
S2#5,3.223776224,1168.129731,35.24776208,4.878796064,66.9401343,32.02680153,Patuxent,Hatched,Hatched SHC,2015,SHC-SHC,SHC,NI,SHC,P-3,17,No,172,2,27,174,192,199,
Y34#3,2.309653916,559.3250072,33.93158805,2.553132496,56.68117701,30.48452002,Patuxent,Hatched,Hatched SHC,2015,SHC-SHC,SHC,NI,SHC,P-4,19,No,125,4,31,129,152,156,
Y42#4,2.647887324,714.3937134,33.87442247,3.191157465,52.60077786,49.86898858,Patuxent,Hatched,Hatched SHC,2015,SHC-SHC,SHC,NI,SHC,P-5,19,No,120,3,30,123,147,150,
S17#3,3.041431262,970.1652317,35.60721429,2.48474189,62.68145743,35.83663936,Patuxent,Hatched,Hatched SHC,2015,SHC-SHC,SHC,NI,SHC,P-5,16,No,149,5,30,154,176,179,
R30#2,2.41442953,1028.326286,32.59512785,3.284885242,46.59196304,49.32446823,Patuxent,Hatched,Hatched SHC,2015,SHC-SHC,SHC,NI,SHC,P-6,20,No,98,2,30,100,125,128,
R6#6,0.830715532,80.01277531,37.07946728,0.051286529,61.52036348,9.322514408,Patuxent,Hatched,Hatched P,2015,SHC-P,P,AI,SHC,P-8,21,No,129,3,29,132,156,158,
S17#1,0.904255319,82.46540123,37.05209001,0.092745998,61.42641869,9.128967042,Patuxent,Hatched,Hatched P,2015,SHC-P,P,AI,SHC,P-8,16,No,116,4,30,120,145,146,
R6#5,1.300353357,486.0186667,37.06580482,0.121340932,57.72582167,4.245935515,Patuxent,Hatched,Hatched GQF1,2015,SHC-GQF1,GQF1,AI,SHC,P-9,21,No,99,33,57,132,156,156,
S2#2,1.30529595,480.0538359,37.31113767,0.175031084,57.24691932,4.033636023,Patuxent,Hatched,Hatched GQF1,2015,SHC-GQF1,GQF1,AI,SHC,P-9,17,No,111,1,29,112,139,140,
S17#4,1.283834586,492.1498527,37.04335431,0.045748395,58.4452309,4.799932843,Patuxent,Hatched,Hatched GQF1,2015,SHC-GQF1,GQF1,AI,SHC,P-9,16,No,150,4,26,154,176,176,
Y34#4,1.303680982,495.0052627,37.19438319,0.176351146,57.56007647,4.992303336,Patuxent,Hatched,Hatched GQF1,2015,SHC-GQF1,GQF1,AI,SHC,P-9,19,No,127,2,30,129,155,157,
