"Egg","Logger","Trt","Facility","Year","Pair.ID","Paired.date","Unpaired.date","Last.alive.day","Hatch.fail.date","Day","temp_mean","temp_var","rh_mean","rh_var","rot_mean","rot_var","Outcome"
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,135,37.38777778,0.009603704,46.48666667,1.542408333,7.333333333,21.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,136,37.40555556,0.00907037,47.445,1.916275,5,27,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,137,37.20777778,0.150603704,49.52166667,0.265233333,7.333333333,21.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,138,37.43333333,0.012033333,47.26166667,5.768533333,4.666666667,21.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,139,37.43333333,0.012033333,45.525,0.1621,4.666666667,21.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,140,37.43333333,0.012033333,45.085,0.2809,4.666666667,21.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,141,37.47888889,0.000948148,44.555,1.9663,4.333333333,24.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,142,37.41555556,0.009603704,46.05166667,0.023408333,7,27,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,143,37.37,0.012033333,45.52333333,0.371008333,7.333333333,21.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,144,37.38777778,0.009603704,46.92666667,0.068908333,4.333333333,24.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,145,37.37,0.012033333,47.45,0.2028,5.666666667,16.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,146,37.46888889,0.002314815,47.62166667,0.364008333,5.666666667,20.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,147,37.35222222,0.022048148,46.22833333,0.023408333,2,0,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,148,37.45111111,0.006225926,46.315,0.643125,4.666666667,21.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,149,37.45111111,0.016359259,46.22666667,0.434658333,7,19,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,150,37.43333333,0.012033333,47.09833333,1.122408333,7.333333333,21.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,151,37.45111111,0.006225926,45.61333333,0.278258333,7.333333333,21.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,152,37.46888889,0.002314815,46.31333333,0.298158333,7.333333333,21.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,153,37.49666667,0,47.61833333,2.058358333,7,27,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,154,37.33444444,0.078948148,45.08,3.413275,7.333333333,21.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,155,37.43333333,0.012033333,46.83666667,0.847658333,7.333333333,21.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,156,37.49666667,0,47.27166667,2.071408333,4,27,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,157,37.37,0.048133333,46.485,2.504925,7.666666667,16.33333333,0
3,9,"SHC-GQF2","ICF",2015,9,131,159,162,162,158,37.31666667,0.025011111,45.61333333,0.278258333,4.666666667,9.333333333,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,135,37.38777778,0.009603704,46.48666667,1.542408333,8,27,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,136,37.40555556,0.00907037,47.445,1.916275,5.333333333,33.33333333,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,137,37.20777778,0.150603704,49.52166667,0.265233333,8,27,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,138,37.43333333,0.012033333,47.26166667,5.768533333,5,27,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,139,37.43333333,0.012033333,45.525,0.1621,5,27,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,140,37.43333333,0.012033333,45.085,0.2809,5,27,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,141,37.47888889,0.000948148,44.555,1.9663,4.666666667,30.33333333,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,142,37.41555556,0.009603704,46.05166667,0.023408333,7.666666667,33.33333333,0
