"x"
31
32
32
31
31
31
29
27
19
29
29
30
26
28
22
31
17
24
29
15
30
29
33
30
30
30
29
21
30
14
20
19
15
13
13
23
19
29
10
27
28
24
27
25
27
5
27
23
31
31
26
23
23
26
23
29
26
24
30
30
29
30
30
31
30
31
30
26
31
28
29
28
30
