"Egg.ID","Day","rot_mean","rot_var","temp_mean","temp_var","rh_mean","rh_var","Paired.date","Unpaired.date"
"07-114-02-15",163,51.4444444444444,1326.76825396825,37.4340740740741,0.00633911816578503,44.9598611111111,0.158452123015874,147,"162"
"07-114-02-15",164,50.9722222222222,1323.34206349206,37.4342592592593,0.00794705467372152,44.6948611111111,0.40323640873016,147,"162"
"07-114-02-15",165,49.0555555555556,1287.31111111111,37.3930555555556,0.0358192857142859,45.0994444444444,0.515099682539684,147,"162"
"07-114-02-15",166,50.8888888888889,1306.15873015873,37.4127777777778,0.00525555555555573,45.5833333333333,0.240141428571428,147,"162"
"07-114-02-15",167,51.0833333333333,1325.22142857143,37.4174074074074,0.00512705467372151,45.0847222222222,0.252055634920636,147,"162"
"07-114-02-15",168,44.4722222222222,1364.54206349206,37.3447222222222,0.0119583333333336,43.9068055555556,0.413271646825398,147,"162"
"07-114-02-15",169,50.75,1303.22142857143,37.325462962963,0.0148331128747797,44.0615277777778,0.338776884920636,147,"162"
"07-114-02-15",170,30.9444444444444,947.025396825397,37.4159259259259,0.00391816578483266,45.0170833333333,0.847474821428573,147,"162"
"07-114-02-15",171,20.8333333333333,409.628571428571,37.3973148148148,0.0077909964726634,45.8315277777778,0.382252599206348,147,"162"
"07-114-02-15",172,29.5555555555556,928.825396825397,37.3498148148148,0.0157548853615522,45.7286111111111,1.0997723015873,147,"162"
"07-114-02-15",173,50.75,1294.47857142857,37.4273148148148,0.00423798059964749,45.1280555555556,0.420438968253969,147,"162"
"07-114-02-15",174,48.3611111111111,1334.2373015873,37.4101851851852,0.00824377425044122,45.1586111111111,0.25927515873016,147,"162"
"07-114-02-15",175,22.75,1138.47857142857,37.4140740740741,0.161691499118166,56.4915277777778,127.215471170635,147,"162"
"07-114-02-15",176,1.30555555555556,39.7611111111111,37.552962962963,0.000966208112874681,68.7325,2.90322071428572,147,"162"
"07-114-02-15",177,0.304347826086957,0.221343873517787,37.5152173913044,0.000674571805006619,69.1289130434783,0.621011264822138,147,"162"
"07-117-01-17",115,48.1666666666667,1536.26470588235,36.6812280701754,9.407463222872,48.0039473684211,7.85190160818713,115,"146"
"07-117-01-17",116,50.1388888888889,1452.98015873016,37.5150925925926,0.00140348324514998,47.7844444444444,1.69417825396826,115,"146"
"07-117-01-17",117,52.0277777777778,1379.45634920635,37.5114814814815,0.000586948853615547,47.8681944444444,0.573304503968254,115,"146"
"07-117-01-17",118,52.2222222222222,1267.94920634921,37.507037037037,0.000458271604938293,47.3795833333333,1.81194339285714,115,"146"
"07-117-01-17",119,51.8611111111111,1335.89444444444,37.5174074074074,0.000695308641975341,47.2731944444444,3.51875878968254,115,"146"
"07-117-01-17",120,51.7222222222222,1337.06349206349,37.4994444444444,0.00121174603174609,47.63875,4.99283053571429,115,"146"
"07-117-01-17",121,51.6666666666667,1333.82857142857,37.5262962962963,0.000722398589065289,47.4618055555556,3.21453593253968,115,"146"
"07-117-01-17",122,51.6111111111111,1335.50158730159,37.5233333333333,0.000731428571428605,46.7897222222222,2.5414384920635,115,"146"
"07-117-01-17",123,52.0555555555556,1340.96825396825,37.5218518518519,0.000729171075837776,47.4956944444444,1.74927450396825,115,"146"
"07-117-01-17",124,51.8055555555556,1345.58968253968,37.5218518518519,0.000729171075837776,48.0023611111111,1.34510926587302,115,"146"
"07-117-01-17",125,51.5277777777778,1348.42777777778,37.5248148148148,0.000729171075837776,47.4002777777778,1.95945992063492,115,"146"
"07-117-01-17",126,51.4444444444444,1266.99682539683,37.5174074074074,0.000857848324515031,47.0186111111111,0.901859444444446,115,"146"
"07-117-01-17",127,51.3888888888889,1332.53015873016,37.5225,0.00147261904761912,48.4415277777778,1.68571974206349,115,"146"
"07-117-01-17",128,51.5555555555556,1334.99682539683,37.549537037037,0.00306358906525563,47.9475,2.80484357142857,115,"146"
"07-117-01-17",129,52.1388888888889,1380.46587301587,37.6216666666667,0.00201301587301598,46.4905555555556,2.61204396825397,115,"146"
"07-117-01-17",130,52.4166666666667,1391.05,37.6140740740741,0.001010229276896,47.4805555555556,1.93195396825397,115,"146"
"07-117-01-17",131,52,1386.28571428571,37.6287962962963,0.00383184303350979,46.8826388888889,2.90861640873016,115,"146"
