"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
46.0805555555556,46.18125,46.2630555555556,46.4234722222222,45.3963888888889,46.5906944444444,47.2731944444444,45.9625,46.6119444444444,47.4656944444444,46.4397222222222,45.8463888888889,45.6195833333333,45.3706944444444,44.9593055555556,45.1447222222222,44.9598611111111,44.6948611111111,45.0994444444444,45.5833333333333,45.0847222222222,43.9068055555556,44.0615277777778,45.0170833333333,45.8315277777778,45.7286111111111,45.1280555555556,45.1586111111111,56.4915277777778,68.7325,69.1289130434783,NA,NA
48.0039473684211,47.7844444444444,47.8681944444444,47.3795833333333,47.2731944444444,47.63875,47.4618055555556,46.7897222222222,47.4956944444444,48.0023611111111,47.4002777777778,47.0186111111111,48.4415277777778,47.9475,46.4905555555556,47.4805555555556,46.8826388888889,47.2416666666667,48.0861111111111,47.7777777777778,47.6786111111111,47.5769444444444,46.8726388888889,47.4466666666667,47.4761111111111,47.4581944444444,47.4808333333333,47.9140277777778,47.3720833333333,46.30625,46.9968055555556,47.1204166666667,NA
46.6430769230769,46.1140277777778,44.2495833333333,45.0970833333333,46.3693055555556,47.2613888888889,48.5297222222222,47.03375,45.1202777777778,44.7609722222222,44.4081944444444,45.6840277777778,45.5448611111111,46.7433333333333,47.4347222222222,47.42625,46.0586111111111,46.1295833333333,46.3065277777778,46.6630555555556,45.3888888888889,46.5466666666667,47.2080555555556,45.6069444444444,46.6851388888889,47.5156944444444,46.3227777777778,45.7288888888889,45.4732352941177,NA,NA,NA,NA
45.0188095238095,46.4130555555556,47.3181944444444,48.6025,47.0405555555556,44.9115277777778,44.75375,44.5990277777778,45.8101388888889,45.58125,46.8459722222222,47.45625,47.4113888888889,46.11,46.1881944444444,46.2918055555556,46.5893055555556,45.4331944444444,46.6197222222222,47.2733333333333,45.9263888888889,46.2222222222222,47.4943055555556,46.4765277777778,45.8095833333333,45.6636111111111,45.1638888888889,44.9444444444444,44.6365384615385,NA,NA,NA,NA
66.8770833333333,56.9163888888889,54.7997222222222,59.5686111111111,67.8780555555556,59.2406944444444,54.5770833333333,52.3995833333333,51.8466666666667,54.5194444444444,54.0691666666667,53.8413888888889,56.9954166666667,55.6211111111111,56.2711111111111,52.8470833333333,59.395,67.6981944444444,65.0525,63.5530555555556,63.05,59.2465277777778,57.1222916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46.6003333333333,61.2069444444444,59.4851388888889,53.9993055555556,53.5156944444444,52.3604166666667,52.9315277777778,47.7247222222222,46.9491666666667,50.6894444444444,48.1233333333333,47.34875,47.0255555555556,46.2694444444444,46.4566666666667,45.1494444444444,45.365,47.3393055555556,45.6865277777778,46.6561111111111,46.83875,46.8819444444444,47.0123611111111,46.3190277777778,47.4825,46.2004166666667,47.9402777777778,49.8933333333333,66.4131944444444,67.2748275862069,NA,NA,NA
47.6792105263158,53.9936111111111,58.6984722222222,56.6591666666667,50.7844444444444,50.3502777777778,49.5940277777778,56.9636111111111,56.8497222222222,57.5013888888889,54.2022222222222,51.2081944444444,58.55125,56.115,55.3898611111111,58.5583333333333,56.9141666666667,61.8165277777778,59.7855555555556,57.7426388888889,55.2076388888889,56.1847222222222,54.6581944444444,52.2655555555556,51.2926388888889,54.0609722222222,54.9011111111111,62.255,NA,NA,NA,NA,NA
55.200625,53.0447222222222,47.0180555555556,47.02875,43.8141666666667,45.915,42.7740277777778,45.5090277777778,50.4544444444444,53.7611111111111,57.4947222222222,51.3998611111111,49.2608333333333,49.4418055555556,51.8144444444444,57.0205555555556,57.2670833333333,59.6505555555556,54.0138888888889,62.4945833333333,63.3943055555556,53.4680555555556,50.9297222222222,49.7540277777778,51.3073611111111,56.1972222222222,66.4472,NA,NA,NA,NA,NA,NA
56.9466666666667,55.1459722222222,55.7130555555556,59.7736111111111,60.2759722222222,59.0926388888889,57.9305555555556,50.2218055555556,54.7177777777778,56.9236111111111,64.8066666666667,56.4458333333333,52.4736111111111,51.505,52.1601388888889,51.9315277777778,51.4890277777778,51.3493055555556,54.2058333333333,53.5770833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45.0840625,49.2538888888889,47.2105555555556,47.4366666666667,48.4951388888889,46.2144444444444,49.845,63.17125,60.2806944444444,58.1151388888889,55.5843055555556,60.6908333333333,55.6880555555556,53.8408333333333,53.3094444444444,46.6609722222222,49.4693055555556,46.9608333333333,57.3722222222222,58.1198611111111,60.0338888888889,52.2080555555556,48.6856944444444,52.9476388888889,55.5697222222222,NA,NA,NA,NA,NA,NA,NA,NA
53.9418421052632,65.9134722222222,68.1990277777778,66.2120833333333,62.9302777777778,54.84875,55.2715277777778,55.2848611111111,54.0613888888889,52.2169444444444,53.6716666666667,50.8361111111111,54.2290277777778,63.41875,64.58875,58.5022222222222,58.0429166666667,57.9972222222222,50.0572222222222,51.9470833333333,51.2458333333333,50.2777777777778,50.6266666666667,51.5681944444444,51.3356944444444,49.2176388888889,49.2929166666667,66.5137878787879,NA,NA,NA,NA,NA
50.3532608695652,49.9131944444444,52.1197222222222,51.0202777777778,48.4686111111111,47.555,49.6191666666667,47.9908333333333,50.3184285714286,55.5170833333333,61.7038888888889,62.58875,58.5436111111111,53.8766666666667,53.2011111111111,51.8859722222222,54.2672222222222,52.8086111111111,51.56,53.2969444444444,52.5697222222222,54.3215277777778,52.0019444444444,50.6629166666667,53.9341666666667,57.8677777777778,54.8159722222222,50.1602777777778,61.6263888888889,NA,NA,NA,NA
59.3717307692308,60.0726388888889,59.9752777777778,52.8505555555556,48.2673611111111,50.6625,60.5975,56.67,52.4184722222222,47.5368055555556,46.0327777777778,49.5152777777778,58.5448611111111,58.3998611111111,63.5376388888889,56.1469444444444,50.7586111111111,52.1698611111111,55.9358333333333,56.6943055555556,60.2348611111111,63.6863888888889,55.0641666666667,61.5652777777778,62.9470833333333,67.0595,NA,NA,NA,NA,NA,NA,NA
64.7789473684211,58.2206944444444,57.6848611111111,62.24375,63.88875,62.99875,60.2234722222222,61.01375,66.2488888888889,64.1254166666667,57.1643055555556,55.3297222222222,58.1026388888889,59.5065277777778,62.0258333333333,61.4893055555556,57.2068055555556,52.8856944444444,48.3109722222222,56.0215277777778,59.0706944444444,58.8758823529412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59.2907142857143,59.1316666666667,57.5854166666667,55.2236111111111,58.8144444444444,61.34125,62.47,63.3938888888889,59.20875,62.1019444444444,66.1951388888889,56.0494444444444,57.0284722222222,55.9080555555556,60.5909722222222,60.3109722222222,64.8698611111111,62.1455555555556,54.0922222222222,49.9525,59.2272222222222,68.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69.286,73.7725,58.5730555555556,52.3408333333333,52.9433333333333,54.0201388888889,51.3701388888889,48.2754166666667,57.6901388888889,57.6573611111111,54.1491666666667,53.6481944444444,51.71625,53.0495833333333,52.9427777777778,57.2369444444444,56.6008333333333,51.7048611111111,51.9720833333333,51.3606944444444,61.5083333333333,58.9573611111111,56.0381944444444,60.4522222222222,69.1980555555556,71.405,69.5009722222222,67.1052380952381,NA,NA,NA,NA,NA
42.0526666666667,40.7719444444444,38.5102777777778,37.6245833333333,37.9627777777778,39.7601388888889,41.0333333333333,38.4169444444444,36.5436111111111,36.4751388888889,38.3270833333333,37.9663888888889,38.4019444444444,37.6494444444444,35.9622222222222,35.5719444444444,37.9001388888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36.7063043478261,38.2579166666667,38.0440277777778,38.3318055555556,37.7945833333333,36.1,35.5480555555556,37.6463888888889,39.1833333333333,37.3633333333333,36.3022222222222,35.9448611111111,36.6761111111111,37.1120833333333,38.8070833333333,39.0308333333333,38.4422222222222,37.8313888888889,37.4706756756757,37.7975,39.1713888888889,49.0140277777778,49.1318055555556,48.5827272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.3711363636364,46.2488888888889,47.0306944444444,46.5095833333333,45.1045833333333,44.9388888888889,45.3422222222222,47.17125,41.4701388888889,40.2016666666667,46.0702777777778,52.6744444444444,52.6343055555556,47.6773611111111,50.1880555555556,62.9473611111111,61.6665277777778,65.4894444444444,54.7369444444444,57.6380555555556,62.4040277777778,58.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35.5115217391304,35.6640277777778,37.7927777777778,39.1219444444444,37.6397222222222,36.1791666666667,36.0216666666667,36.5679166666667,37.2970833333333,38.6854166666667,39.1604166666667,38.3343055555556,37.8469444444444,37.6145833333333,36.4259523809524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33.22125,33.2136111111111,33.0843055555556,32.7130555555556,32.5720833333333,32.4601388888889,32.5019444444444,33.9444444444444,34.8258333333333,35.6311111111111,34.7088888888889,34.5181944444444,34.5058333333333,34.5502777777778,34.0806944444444,34.8909722222222,36.0993055555556,37.4165277777778,37.7318055555556,38.2575,37.71,36.75125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56.9176086956522,51.0284722222222,48.8693055555556,58.1872222222222,56.4488888888889,52.4476388888889,50.4829166666667,49.7970833333333,51.1961111111111,53.57125,53.3181944444444,54.1611111111111,51.8616666666667,48.8756944444444,48.5679166666667,52.5101388888889,48.4876388888889,46.8984722222222,46.9548611111111,44.9052777777778,45.4254166666667,42.9906944444444,43.3375,54.5177777777778,52.6611111111111,52.1854166666667,54.8790277777778,58.2491666666667,NA,NA,NA,NA,NA
33.22125,33.2136111111111,33.0843055555556,32.7130555555556,32.5720833333333,32.4601388888889,32.5019444444444,33.9444444444444,34.8258333333333,35.6311111111111,34.7088888888889,34.5181944444444,34.5058333333333,34.5502777777778,34.0806944444444,34.8909722222222,36.0993055555556,37.4165277777778,37.7318055555556,38.2575,37.71,36.75125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41.1415909090909,40.4291666666667,38.6786111111111,38.1370833333333,38.9033333333333,40.56875,38.43875,36.9919444444444,37.7716666666667,39.9122222222222,41.6843055555556,40.4227777777778,38.1806944444444,38.82875,41.2422222222222,40.2927777777778,41.2168055555556,42.35875,41.7347222222222,41.1765277777778,40.4952777777778,40.3352777777778,40.2997222222222,37.9911111111111,36.0319444444444,36.1393055555556,39.7523611111111,48.7284722222222,59.035,74.1888235294118,NA,NA,NA
46.2584782608696,46.9709722222222,45.5418055555556,38.2423611111111,34.5806944444444,31.9122222222222,30.0006944444444,28.8773611111111,28.5736111111111,34.6116666666667,40.1533333333333,35.7391666666667,33.1890277777778,44.0272222222222,37.0990909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45.0277272727273,43.4261111111111,43.4004166666667,47.5618055555556,55.4043055555556,60.9384722222222,64.4619444444444,56.7106944444444,50.6704166666667,48.6993055555556,50.12125,48.2065277777778,47.9470833333333,45.2088888888889,47.3698611111111,44.3319444444444,45.9041666666667,45.4820833333333,45.4048611111111,48.66875,48.3315277777778,46.2534722222222,48.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
