"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
1260.26470588235,1088.22857142857,1055.91349206349,1085.70158730159,1168.47857142857,1097.58968253968,1094.97777777778,1104.22857142857,1076.47857142857,1002.12063492063,1006.93015873016,760.6,1087.09206349206,1007.3873015873,1145.3873015873,1269.68253968254,1326.76825396825,1323.34206349206,1287.31111111111,1306.15873015873,1325.22142857143,1364.54206349206,1303.22142857143,947.025396825397,409.628571428571,928.825396825397,1294.47857142857,1334.2373015873,1138.47857142857,39.7611111111111,0.221343873517787,NA,NA
1536.26470588235,1452.98015873016,1379.45634920635,1267.94920634921,1335.89444444444,1337.06349206349,1333.82857142857,1335.50158730159,1340.96825396825,1345.58968253968,1348.42777777778,1266.99682539683,1332.53015873016,1334.99682539683,1380.46587301587,1391.05,1386.28571428571,1387.81587301587,1386.28571428571,1300.90158730159,1378.91111111111,1389.25396825397,1389.25396825397,1456.28571428571,1408.0253968254,1370.29444444444,1364.74285714286,1212.06587301587,1390.62857142857,1396.67301587302,1393.65396825397,1498.99242424242,NA
992.931818181818,1144.94206349206,1082.70714285714,893.265873015873,1090.91111111111,1162.97777777778,1087.0373015873,1087.17063492063,1066.82857142857,1083.14920634921,1008.65634920635,1081.90158730159,1074.48492063492,1097.63492063492,737.787301587302,947.987301587302,1027.09206349206,1086.96825396825,1058.47857142857,1093.5873015873,1055.85634920635,1081.86349206349,1087.13253968254,1088.45714285714,1013.27857142857,1106.87301587302,1022.62857142857,790.427777777778,1155.24264705882,NA,NA,NA,NA
1095.53684210526,1088.22857142857,1116.21825396825,1090.91111111111,1086.96825396825,1139.10158730159,1093.5873015873,1091.62142857143,1109.51111111111,1109.51111111111,1100.28571428571,810.539682539683,948.628571428571,1164.47301587302,1090.91111111111,1054.87857142857,1088.22857142857,1163.8,1094.97777777778,1096.25714285714,1094.92301587302,1085.28571428571,1098.92063492063,996.044444444444,762.485714285714,1086.96825396825,1030.43492063492,1148.48253968254,1220.76923076923,NA,NA,NA,NA
6114.89090909091,3694.08492063492,3305.33571428571,2917.57777777778,3681.80634920635,2995.4373015873,3431.88571428571,3636.21825396825,3070.02142857143,2790.51428571429,2863.69206349206,2638.14285714286,3752.35158730159,2939.16428571429,3003.17142857143,3536.39682539683,3385.05634920635,2882.82777777778,2173.33015873016,2972.51428571429,2820.93571428571,3487.70158730159,2132.78079710145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3742.52747252747,2242.30714285714,4103.34206349206,1760.94285714286,2079.97063492063,3454.56111111111,2016.96825396825,3633.2253968254,4073.11428571429,2538.36428571429,3170.75158730159,2368.13571428571,1281.62142857143,1271.73015873016,1260.54285714286,1286.59920634921,1243.48571428571,1242.59920634921,1230.84682539683,1243.42857142857,1226.97142857143,1166.99920634921,1235.14285714286,1218.4,1232.54206349206,1343.03492063492,0.218253968253968,40.1039682539683,0.428571428571429,0.401477832512315,NA,NA,NA
4088.99673202614,4139.48571428571,2836.94285714286,3875.79285714286,3350.91111111111,2524.41587301587,1792.78968253968,2913.22857142857,3568.45714285714,3044.96825396825,3033.51349206349,2843.05,3149.05714285714,1359.74285714286,2871.56825396825,1670.28571428571,3473.8753968254,3747.88571428571,3173.36111111111,3765.72301587302,3177.66349206349,3291.76825396825,3237.57777777778,2944.59920634921,1345.83492063492,708.911111111111,41.85,127.435897435897,NA,NA,NA,NA,NA
4138.45714285714,2979.36111111111,2741.66587301587,4239.85634920635,3937.32063492063,3426.48253968254,3784.8,3202.19682539683,3071.71428571429,4094.97142857143,3255.73968253968,2963.96428571429,3294.56111111111,2973.51349206349,3079.62142857143,2943.04444444444,3776.57142857143,2887.62857142857,3441.02857142857,3386.42142857143,2404.53015873016,1200.15873015873,369.371428571429,310.33253968254,372.992857142857,1288.30714285714,276.006666666667,NA,NA,NA,NA,NA,NA
3898.59340659341,3158.4253968254,3066.70714285714,2995.17063492063,3606.15873015873,3488.96825396825,3733.39285714286,2382.61825396825,3250.0253968254,3209.27857142857,2229.49206349206,3276.54285714286,636.301587301587,604.4,606.923015873016,478.368253968254,0.408730158730159,2.82777777777778,158.606349206349,0.0833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1844.2380952381,2768.36428571429,3400.82142857143,3034.25714285714,3793.45714285714,4377.72301587302,2203.57142857143,2822.53968253968,2600.96111111111,2349.69206349206,3074.71349206349,2653.27857142857,3047.39920634921,2259.2,2750.14285714286,3020.38968253968,3909.98968253968,3235.45,3608.07857142857,3174.56825396825,2410.19920634921,2424.92063492063,2506.69206349206,2552.04444444444,2052.6045751634,NA,NA,NA,NA,NA,NA,NA,NA
